佣兵等级	品阶等级	当前品阶星级	AI
60	1	1	1511,112;1513,112;1515,112;1517,112;1512,1122;1516,1122;1514,1123;1518,1123
60	1	1	1511,112;1513,112;1515,112;1517,112;1512,1122;1516,1122;1514,1123;1518,1123
60	1	1	1511,112;1513,112;1515,112;1517,112;1512,1122;1516,1122;1514,1123;1518,1123
60	1	1	1511,112;1513,112;1515,112;1517,112;1512,1122;1516,1122;1514,1123;1518,1123
60	2	1	1511,112;1513,112;1515,112;1517,112;1512,1122;1516,1122;1514,1123;1518,1123
60	2	2	1511,112;1513,112;1515,112;1517,112;1512,1122;1516,1122;1514,1123;1518,1123
60	2	3	1511,112;1513,112;1515,112;1517,112;1512,1122;1516,1122;1514,1123;1518,1123
60	2	4	1511,112;1513,112;1515,112;1517,112;1512,1122;1516,1122;1514,1123;1518,1123
60	3	1	1511,112;1513,112;1515,112;1517,112;1512,1122;1516,1122;1514,1123;1518,1123
60	3	2	1511,112;1513,112;1515,112;1517,112;1512,1122;1516,1122;1514,1123;1518,1123
60	3	3	1511,112;1513,112;1515,112;1517,112;1512,1122;1516,1122;1514,1123;1518,1123
60	3	4	1511,112;1513,112;1515,112;1517,112;1512,1122;1516,1122;1514,1123;1518,1123
60	1	1	1511,114;1513,114;1515,114;1517,114;1512,1142;1516,1142;1514,1143;1518,1143
60	1	1	1511,114;1513,114;1515,114;1517,114;1512,1142;1516,1142;1514,1143;1518,1143
60	1	1	1511,114;1513,114;1515,114;1517,114;1512,1142;1516,1142;1514,1143;1518,1143
60	1	1	1511,114;1513,114;1515,114;1517,114;1512,1142;1516,1142;1514,1143;1518,1143
60	2	1	1511,114;1513,114;1515,114;1517,114;1512,1142;1516,1142;1514,1143;1518,1143
60	2	2	1511,114;1513,114;1515,114;1517,114;1512,1142;1516,1142;1514,1143;1518,1143
60	2	3	1511,114;1513,114;1515,114;1517,114;1512,1142;1516,1142;1514,1143;1518,1143
60	2	4	1511,114;1513,114;1515,114;1517,114;1512,1142;1516,1142;1514,1143;1518,1143
60	3	1	1511,114;1513,114;1515,114;1517,114;1512,1142;1516,1142;1514,1143;1518,1143
60	3	2	1511,114;1513,114;1515,114;1517,114;1512,1142;1516,1142;1514,1143;1518,1143
60	3	3	1511,114;1513,114;1515,114;1517,114;1512,1142;1516,1142;1514,1143;1518,1143
60	3	4	1511,114;1513,114;1515,114;1517,114;1512,1142;1516,1142;1514,1143;1518,1143
60	1	1	1511,111;1513,111;1515,111;1517,111;1512,1112;1516,1112;1514,1113;1518,1113
60	1	1	1511,111;1513,111;1515,111;1517,111;1512,1112;1516,1112;1514,1113;1518,1113
60	1	1	1511,111;1513,111;1515,111;1517,111;1512,1112;1516,1112;1514,1113;1518,1113
60	1	1	1511,111;1513,111;1515,111;1517,111;1512,1112;1516,1112;1514,1113;1518,1113
60	2	1	1511,111;1513,111;1515,111;1517,111;1512,1112;1516,1112;1514,1113;1518,1113
60	2	2	1511,111;1513,111;1515,111;1517,111;1512,1112;1516,1112;1514,1113;1518,1113
60	2	3	1511,111;1513,111;1515,111;1517,111;1512,1112;1516,1112;1514,1113;1518,1113
60	2	4	1511,111;1513,111;1515,111;1517,111;1512,1112;1516,1112;1514,1113;1518,1113
60	3	1	1511,111;1513,111;1515,111;1517,111;1512,1112;1516,1112;1514,1113;1518,1113
60	3	2	1511,111;1513,111;1515,111;1517,111;1512,1112;1516,1112;1514,1113;1518,1113
60	3	3	1511,111;1513,111;1515,111;1517,111;1512,1112;1516,1112;1514,1113;1518,1113
60	3	4	1511,111;1513,111;1515,111;1517,111;1512,1112;1516,1112;1514,1113;1518,1113
60	3	4	1511,111;1513,111;1515,111;1517,111;1512,1112;1516,1112;1514,1113;1518,1113
60	3	4	1511,112;1513,112;1515,112;1517,112;1512,1122;1516,1122;1514,1123;1518,1123
60	3	4	1511,112;1513,112;1515,112;1517,112;1512,1122;1516,1122;1514,1123;1518,1123
60	3	4	1511,114;1513,114;1515,114;1517,114;1512,1142;1516,1142;1514,1143;1518,1143
60	3	4	1511,111;1513,111;1515,111;1517,111;1512,1112;1516,1112;1514,1113;1518,1113
60	3	4	1511,111;1513,111;1515,111;1517,111;1512,1112;1516,1112;1514,1113;1518,1113
60	3	4	1511,112;1513,112;1515,112;1517,112;1512,1122;1516,1122;1514,1123;1518,1123
60	3	4	1511,114;1513,114;1515,114;1517,114;1512,1142;1516,1142;1514,1143;1518,1143
60	3	4	1511,111;1513,111;1515,111;1517,111;1512,1112;1516,1112;1514,1113;1518,1113
60	3	4	1511,111;1513,111;1515,111;1517,111;1512,1112;1516,1112;1514,1113;1518,1113
60	3	4	1511,112;1513,112;1515,112;1517,112;1512,1122;1516,1122;1514,1123;1518,1123
60	3	4	1511,111;1513,111;1515,111;1517,111;1512,1112;1516,1112;1514,1113;1518,1113
60	3	4	1511,111;1513,111;1515,111;1517,111;1512,1112;1516,1112;1514,1113;1518,1113
60	3	4	1511,112;1513,112;1515,112;1517,112;1512,1122;1516,1122;1514,1123;1518,1123
60	3	4	1511,111;1513,111;1515,111;1517,111;1512,1112;1516,1112;1514,1113;1518,1113
60	3	4	1511,112;1513,112;1515,112;1517,112;1512,1122;1516,1122;1514,1123;1518,1123
60	3	4	1511,111;1513,111;1515,111;1517,111;1512,1112;1516,1112;1514,1113;1518,1113
60	3	4	1511,111;1513,111;1515,111;1517,111;1512,1112;1516,1112;1514,1113;1518,1113
60	3	4	1511,114;1513,114;1515,114;1517,114;1512,1142;1516,1142;1514,1143;1518,1143
60	3	4	1511,112;1513,112;1515,112;1517,112;1512,1122;1516,1122;1514,1123;1518,1123
60	3	4	1511,112;1513,112;1515,112;1517,112;1512,1122;1516,1122;1514,1123;1518,1123
60	3	4	1511,112;1513,112;1515,112;1517,112;1512,1122;1516,1122;1514,1123;1518,1123
60	3	4	1511,111;1513,111;1515,111;1517,111;1512,1112;1516,1112;1514,1113;1518,1113
60	3	4	1511,112;1513,112;1515,112;1517,112;1512,1122;1516,1122;1514,1123;1518,1123
60	3	4	1511,112;1513,112;1515,112;1517,112;1512,1122;1516,1122;1514,1123;1518,1123
60	3	4	1511,112;1513,112;1515,112;1517,112;1512,1122;1516,1122;1514,1123;1518,1123
60	3	4	1511,111;1513,111;1515,111;1517,111;1512,1112;1516,1112;1514,1113;1518,1113
60	3	4	1511,112;1513,112;1515,112;1517,112;1512,1122;1516,1122;1514,1123;1518,1123
60	3	4	1511,111;1513,111;1515,111;1517,111;1512,1112;1516,1112;1514,1113;1518,1113
60	3	4	1511,111;1513,111;1515,111;1517,111;1512,1112;1516,1112;1514,1113;1518,1113
60	3	4	1511,111;1513,111;1515,111;1517,111;1512,1112;1516,1112;1514,1113;1518,1113
60	3	4	1511,111;1513,111;1515,111;1517,111;1512,1112;1516,1112;1514,1113;1518,1113
60	3	4	1511,112;1513,112;1515,112;1517,112;1512,1122;1516,1122;1514,1123;1518,1123
60	3	4	1511,112;1513,112;1515,112;1517,112;1512,1122;1516,1122;1514,1123;1518,1123
60	3	4	1511,111;1513,111;1515,111;1517,111;1512,1112;1516,1112;1514,1113;1518,1113
60	3	4	1511,112;1513,112;1515,112;1517,112;1512,1122;1516,1122;1514,1123;1518,1123
60	3	4	1511,111;1513,111;1515,111;1517,111;1512,1112;1516,1112;1514,1113;1518,1113
60	3	4	1511,112;1513,112;1515,112;1517,112;1512,1122;1516,1122;1514,1123;1518,1123
60	3	4	1511,112;1513,112;1515,112;1517,112;1512,1122;1516,1122;1514,1123;1518,1123
60	3	4	1511,111;1513,111;1515,111;1517,111;1512,1112;1516,1112;1514,1113;1518,1113
60	3	4	1511,114;1513,114;1515,114;1517,114;1512,1142;1516,1142;1514,1143;1518,1143
60	3	4	1511,111;1513,111;1515,111;1517,111;1512,1112;1516,1112;1514,1113;1518,1113
60	3	4	1511,114;1513,114;1515,114;1517,114;1512,1142;1516,1142;1514,1143;1518,1143
60	3	4	1511,111;1513,111;1515,111;1517,111;1512,1112;1516,1112;1514,1113;1518,1113
60	3	4	1511,111;1513,111;1515,111;1517,111;1512,1112;1516,1112;1514,1113;1518,1113
60	3	4	1511,111;1513,111;1515,111;1517,111;1512,1112;1516,1112;1514,1113;1518,1113
60	3	4	1511,112;1513,112;1515,112;1517,112;1512,1122;1516,1122;1514,1123;1518,1123
60	3	4	1511,112;1513,112;1515,112;1517,112;1512,1122;1516,1122;1514,1123;1518,1123
60	3	4	1511,111;1513,111;1515,111;1517,111;1512,1112;1516,1112;1514,1113;1518,1113
60	3	4	1511,112;1513,112;1515,112;1517,112;1512,1122;1516,1122;1514,1123;1518,1123
60	3	4	1511,112;1513,112;1515,112;1517,112;1512,1122;1516,1122;1514,1123;1518,1123
60	3	4	1511,111;1513,111;1515,111;1517,111;1512,1112;1516,1112;1514,1113;1518,1113
60	3	4	1511,112;1513,112;1515,112;1517,112;1512,1122;1516,1122;1514,1123;1518,1123
